,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rto,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,to,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,rtos
0,,Álex Abrines,13.854028436018957,2.934597156398104,1.3649289099526067,1.2625592417061613,0.2729857819905213,,1055,68,6,0.39296187683284456,0.8979591836734694,0.3805668016194332,0.096,-2.5,10.1,0.56,-0.1,,,,,,,,,,,,,,,1.1260663507109003
1,,Ron Baker,9.031505250875146,4.116686114352392,4.494749124854143,1.428238039673279,0.3360560093348891,,857,52,13,0.3778801843317972,0.6511627906976745,0.26744186046511625,-0.008,-4.4,7.5,0.456,-0.5,,,,,,,,,,,,,,,2.352392065344224
2,,Wade Baldwin,9.422222222222222,4.088888888888889,5.4222222222222225,1.6,0.6222222222222221,,405,33,1,0.3130434782608696,0.8378378378378378,0.13636363636363635,-0.041,-5.7,6.5,0.404,-0.4,,,,,,,,,,,,,,,3.466666666666667
3,,DeAndre' Bembry,9.800539083557952,5.725067385444744,2.7169811320754715,0.7762803234501348,0.48517520215633425,,371,38,1,0.47959183673469385,0.375,0.05555555555555555,0.038,-4.3,8.8,0.481,-0.2,,,,,,,,,,,,,,,1.5525606469002695
4,,Dragan Bender,9.156794425087108,6.45993031358885,1.4425087108013936,0.627177700348432,1.3797909407665505,,574,43,0,0.35403726708074534,0.36363636363636365,0.27722772277227725,-0.029,-4.3,5.3,0.44,-0.3,,,,,,,,,,,,,,,2.0069686411149825
5,,Dāvis Bertāns,13.5,4.366336633663366,2.0495049504950495,0.8910891089108911,1.2475247524752477,,808,67,6,0.44017094017094016,0.8235294117647058,0.3988439306358382,0.135,1.8,12.9,0.609,0.8,,,,,,,,,,,,,,,1.4257425742574257
6,,Malcolm Brogdon,13.9313824419778,3.8688193743693238,5.75782038345106,1.5257315842583248,0.2179616548940464,,1982,75,28,0.4566929133858268,0.8650793650793651,0.40414507772020725,0.1,-0.5,14.9,0.555,0.8,,,,,,,,,,,,,,,2.0524722502522703
7,,Jaylen Brown,13.825503355704699,5.906040268456376,1.7181208053691275,0.9395973154362416,0.4832214765100671,,1341,78,20,0.45390070921985815,0.6854838709677419,0.34074074074074073,0.053,-4.0,10.3,0.539,-0.7,,,,,,,,,,,,,,,1.825503355704698
8,,Nicolás Brussino,10.36468330134357,6.564299424184261,3.247600767754319,1.1746641074856046,0.5527831094049904,,521,54,2,0.36879432624113473,0.7727272727272727,0.30526315789473685,0.055,-1.0,10.7,0.498,0.1,,,,,,,,,,,,,,,1.7965451055662187
9,,Marquese Chriss,15.55249569707401,7.187607573149742,1.2392426850258174,1.3838209982788294,1.4457831325301205,,1743,82,75,0.44936708860759494,0.6243093922651933,0.32142857142857145,0.05,-1.6,12.3,0.529,0.2,,,,,,,,,,,,,,,2.2306368330464714
10,,Semaj Christon,6.770811921891059,3.2189105858170604,4.809866392600206,1.0359712230215827,0.2589928057553957,,973,64,1,0.3452914798206278,0.5483870967741935,0.19047619047619047,0.006,-6.3,5.7,0.387,-1.1,,,,,,,,,,,,,,,1.5909558067831449
11,,Deyonta Davis,8.773109243697478,9.07563025210084,0.3025210084033613,0.453781512605042,2.571428571428571,,238,36,0,0.5106382978723404,0.5555555555555556,0.0,0.097,-3.7,10.6,0.528,-0.1,,,,,,,,,,,,,,,1.2100840336134453
12,,Malcolm Delaney,11.278846153846153,3.548076923076923,5.5673076923076925,1.125,0.028846153846153844,,1248,73,2,0.37371134020618557,0.8064516129032258,0.23636363636363636,0.005,-5.9,7.5,0.456,-1.2,,,,,,,,,,,,,,,2.740384615384615
13,,Kris Dunn,7.912978244561141,4.483120780195049,5.077269317329332,2.1065266316579145,0.9722430607651913,,1333,78,7,0.3769968051118211,0.6101694915254238,0.2876712328767123,0.004,-2.2,8.1,0.432,-0.1,,,,,,,,,,,,,,,2.4036009002250562
14,,Joel Embiid,28.7175572519084,11.129770992366414,3.0229007633587788,1.2366412213740459,3.480916030534351,,786,31,31,0.4662004662004662,0.7827868852459017,0.3673469387755102,0.117,3.1,24.1,0.584,1.0,,,,,,,,,,,,,,,5.358778625954199
15,,Kay Felder,15.481865284974091,3.823834196891192,5.409326424870467,1.6787564766839378,0.6528497409326425,,386,42,0,0.3924050632911392,0.7142857142857143,0.3181818181818182,0.008,-6.0,11.4,0.462,-0.4,,,,,,,,,,,,,,,2.7979274611398965
16,,Yogi Ferrell,14.042065009560229,3.4072657743785855,5.334608030592734,1.3766730401529637,0.24091778202676867,,1046,36,29,0.4115942028985507,0.8767123287671232,0.40268456375838924,0.09,0.2,14.1,0.541,0.6,,,,,,,,,,,,,,,1.9273422562141493
17,,Dorian Finney-Smith,7.673568818514007,4.867235079171742,1.4689403166869672,1.1400730816077953,0.5481120584652862,,1642,81,35,0.37237237237237236,0.7540983606557377,0.2931937172774869,0.041,-1.4,7.7,0.486,0.2,,,,,,,,,,,,,,,0.9866017052375153
18,,Bryn Forbes,11.873684210526317,2.905263157894737,2.905263157894737,0.12631578947368421,0.0,,285,36,0,0.36363636363636365,0.8333333333333334,0.32075471698113206,0.014,-6.0,5.9,0.462,-0.3,,,,,,,,,,,,,,,1.3894736842105264
