,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,rtos,tos,Tier1,Tier2,Tier3,Tier4,Tier5
0,2010,Jeff Ayres,9.244444444,8.711111111,0.08888888889,0.6222222222,1.422222222,405,39,4,0.6615384615,0.9,0,0.156,-2.9,12.1,0.705,-0.1,14.14634146,10.14634146,1.463414634,0.5853658537,1.170731707,0.4841269841,0.9130434783,0.5,0.129,-2.9,14.5,0.533,-0.1,1.066666667,2.243902439,1,0,0,0,0
1,2010,Rodrigue Beaubois,20.41714286,4.011428571,3.805714286,1.491428571,0.6171428571,700,56,16,0.5183946488,0.8076923077,0.4090909091,0.134,1.3,18.5,0.617,0.6,11.86885246,3.737704918,5.508196721,1.245901639,0.262295082,0.3693181818,0.7894736842,0.2916666667,0.032,-3.3,10.6,0.47,-0.2,2.777142857,2.163934426,1,0,0,0,0
2,2010,DeJuan Blair,15.37349398,12.6746988,1.56626506,1.204819277,0.9397590361,1494,82,23,0.5555555556,0.5465838509,0,0.147,0.7,17.7,0.564,1,13.87544066,9.72972973,1.903642773,1.565217391,0.4230317274,0.5239852399,0.6285714286,0,0.126,-0.8,14.6,0.543,0.3,2.698795181,2.072855464,0,1,0,0,0
3,2010,DeMarre Carroll,9.464150943,6.79245283,1.494339623,1.267924528,0.4075471698,795,71,1,0.3963963964,0.6226415094,0,0.031,-4.1,8.5,0.426,-0.4,12.73447345,6.091809181,1.97659766,1.879387939,0.7776777678,0.4598765432,0.7653061224,0.2857142857,0.134,2,15.5,0.535,1.1,1.086792453,1.101710171,1,0,0,0,0
4,2010,Omri Casspi,14.76540653,6.50647333,1.771103055,1.006732263,0.316934231,1931,77,31,0.4464285714,0.6724137931,0.3694581281,0.063,-2.1,13,0.529,-0.1,12.38170974,8.159045726,2.003976143,1.789264414,0.8588469185,0.39375,0.5365853659,0.3289473684,0.064,-1.7,12.9,0.486,0,1.827032626,1.574552684,0,1,0,0,0
5,2010,Earl Clark,13.15926893,5.82767624,1.973890339,0.6579634465,1.221932115,383,51,0,0.3708609272,0.7222222222,0.4,-0.033,-6.9,8.5,0.42,-0.5,11.30447542,8.584005869,1.716801174,0.9508437271,1.162142333,0.4404145078,0.6973684211,0.3365384615,0.08,-0.9,12.4,0.51,0.4,2.161879896,1.637564197,0,1,0,0,0
6,2010,Darren Collison,16.14793741,3.277382646,7.374110953,1.3314367,0.06827880512,2109,76,37,0.4765525982,0.8505747126,0.4,0.067,-1.7,16.5,0.546,0.2,14.75210793,3.323777403,6.298482293,1.517706577,0.1214165261,0.4709944751,0.88,0.3529411765,0.114,0.2,16.3,0.575,1.3,3.448079659,2.625632378,0,0,1,0,0
7,2010,Dante Cunningham,12.37340877,8.147100424,0.7128712871,1.222065064,1.120226308,707,63,2,0.4953271028,0.6458333333,0,0.129,-1.9,14.3,0.517,0,12.44776119,7.307462687,1.2,1.504477612,0.6805970149,0.4679582712,0.6504854369,0,0.084,-0.9,13.3,0.485,0.5,0.7637906648,1.002985075,0,0,1,0,0
8,2010,Stephen Curry,17.39088398,4.425414365,5.867403315,1.889502762,0.2361878453,2896,80,77,0.4619422572,0.885,0.4368421053,0.077,1,16.3,0.568,2.2,21.55414013,3.789473684,6.504860878,1.520616829,0.1448206504,0.4510086455,0.9003436426,0.4533333333,0.18,5.4,21.3,0.589,5.6,3.020718232,2.896413007,0,0,0,1,0
9,2010,Austin Daye,13.73114754,6.845901639,1.337704918,0.9836065574,1.02295082,915,69,4,0.4644067797,0.8214285714,0.3052631579,0.067,-2.7,12.8,0.546,-0.2,13.7195122,6.585365854,2.304878049,0.987804878,1.536585366,0.4234234234,0.6875,0.3448275862,0.127,0.3,13.3,0.529,0.2,1.88852459,1.756097561,1,0,0,0,0
