,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rtos,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,tos,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,2kRank
0,2010,Jeff Ayres,9.244444444,8.711111111,0.088888889,0.622222222,1.422222222,1.066666667,405,39,4,0.661538462,0.9,0,0.156,-2.9,12.1,0.705,-0.1,14.14634146,10.14634146,1.463414634,0.585365854,1.170731707,2.243902439,0.484126984,0.913043478,0.5,0.129,-2.9,14.5,0.533,-0.1,67
1,2010,Rodrigue Beaubois,20.41714286,4.011428571,3.805714286,1.491428571,0.617142857,2.777142857,700,56,16,0.518394649,0.807692308,0.409090909,0.134,1.3,18.5,0.617,0.6,11.86885246,3.737704918,5.508196721,1.245901639,0.262295082,2.163934426,0.369318182,0.789473684,0.291666667,0.032,-3.3,10.6,0.47,-0.2,72
2,2010,DeJuan Blair,15.37349398,12.6746988,1.56626506,1.204819277,0.939759036,2.698795181,1494,82,23,0.555555556,0.546583851,0,0.147,0.7,17.7,0.564,1,13.87544066,9.72972973,1.903642773,1.565217391,0.423031727,2.072855464,0.52398524,0.628571429,0,0.126,-0.8,14.6,0.543,0.3,69
3,2010,DeMarre Carroll,9.464150943,6.79245283,1.494339623,1.267924528,0.40754717,1.086792453,795,71,1,0.396396396,0.622641509,0,0.031,-4.1,8.5,0.426,-0.4,12.73447345,6.091809181,1.97659766,1.879387939,0.777677768,1.101710171,0.459876543,0.765306122,0.285714286,0.134,2,15.5,0.535,1.1,64
4,2010,Omri Casspi,14.76540653,6.50647333,1.771103055,1.006732263,0.316934231,1.827032626,1931,77,31,0.446428571,0.672413793,0.369458128,0.063,-2.1,13,0.529,-0.1,12.38170974,8.159045726,2.003976143,1.789264414,0.858846919,1.574552684,0.39375,0.536585366,0.328947368,0.064,-1.7,12.9,0.486,0,66
5,2010,Earl Clark,13.15926893,5.82767624,1.973890339,0.657963447,1.221932115,2.161879896,383,51,0,0.370860927,0.722222222,0.4,-0.033,-6.9,8.5,0.42,-0.5,11.30447542,8.584005869,1.716801174,0.950843727,1.162142333,1.637564197,0.440414508,0.697368421,0.336538462,0.08,-0.9,12.4,0.51,0.4,70
6,2010,Darren Collison,16.14793741,3.277382646,7.374110953,1.3314367,0.068278805,3.448079659,2109,76,37,0.476552598,0.850574713,0.4,0.067,-1.7,16.5,0.546,0.2,14.75210793,3.323777403,6.298482293,1.517706577,0.121416526,2.625632378,0.470994475,0.88,0.352941177,0.114,0.2,16.3,0.575,1.3,79
7,2010,Dante Cunningham,12.37340877,8.147100424,0.712871287,1.222065064,1.120226308,0.763790665,707,63,2,0.495327103,0.645833333,0,0.129,-1.9,14.3,0.517,0,12.44776119,7.307462687,1.2,1.504477612,0.680597015,1.002985075,0.467958271,0.650485437,0,0.084,-0.9,13.3,0.485,0.5,64
8,2010,Stephen Curry,17.39088398,4.425414365,5.867403315,1.889502762,0.236187845,3.020718232,2896,80,77,0.461942257,0.885,0.436842105,0.077,1,16.3,0.568,2.2,21.55414013,3.789473684,6.504860878,1.520616829,0.14482065,2.896413007,0.451008646,0.900343643,0.453333333,0.18,5.4,21.3,0.589,5.6,88
9,2010,Austin Daye,13.73114754,6.845901639,1.337704918,0.983606557,1.02295082,1.88852459,915,69,4,0.46440678,0.821428571,0.305263158,0.067,-2.7,12.8,0.546,-0.2,13.7195122,6.585365854,2.304878049,0.987804878,1.536585366,1.756097561,0.423423423,0.6875,0.344827586,0.127,0.3,13.3,0.529,0.2,64
